20525469: |Acc X:-0.12, Acc Y:-0.04, Acc Z:10.31 |Gyr X:-0.01, Gyr Y:-0.01, Gyr Z:0.03 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.43, Pitch:0.80, Yaw:-36.60
20525569: |Acc X:0.07, Acc Y:-0.25, Acc Z:9.81 |Gyr X:-0.00, Gyr Y:-0.01, Gyr Z:0.01 |Mag X:-0.04, Mag Y:0.45, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.43, Pitch:0.80, Yaw:-36.59
20525669: |Acc X:-0.48, Acc Y:-0.04, Acc Z:9.48 |Gyr X:-0.00, Gyr Y:-0.03, Gyr Z:0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.42, Pitch:0.79, Yaw:-36.59
20525769: |Acc X:-0.20, Acc Y:-0.14, Acc Z:9.84 |Gyr X:-0.01, Gyr Y:0.01, Gyr Z:0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.42, Pitch:0.79, Yaw:-36.59
20525869: |Acc X:0.15, Acc Y:0.10, Acc Z:9.32 |Gyr X:-0.00, Gyr Y:0.00, Gyr Z:-0.02 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.41, Pitch:0.78, Yaw:-36.59
20525969: |Acc X:-0.32, Acc Y:0.22, Acc Z:9.95 |Gyr X:-0.02, Gyr Y:-0.02, Gyr Z:-0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.40, Pitch:0.78, Yaw:-36.60
20526069: |Acc X:-0.47, Acc Y:0.09, Acc Z:10.54 |Gyr X:0.01, Gyr Y:-0.01, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.39, Pitch:0.77, Yaw:-36.61
20526169: |Acc X:-0.00, Acc Y:-0.04, Acc Z:9.38 |Gyr X:0.02, Gyr Y:-0.00, Gyr Z:-0.00 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.39, Pitch:0.76, Yaw:-36.61
20526269: |Acc X:-0.05, Acc Y:-0.16, Acc Z:9.14 |Gyr X:-0.02, Gyr Y:-0.04, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.39, Pitch:0.75, Yaw:-36.61
20526369: |Acc X:-0.34, Acc Y:-0.13, Acc Z:9.66 |Gyr X:-0.01, Gyr Y:-0.01, Gyr Z:0.01 |Mag X:-0.04, Mag Y:0.45, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.38, Pitch:0.75, Yaw:-36.62
